Local Granule ID,Entity ID,Acquisition Start Date,Acquisition End Date,Horizontal Tile Number,Vertical Tile Number,Day/Night Indicator,Version Number,Product Generation Algorithm,Auto Quality Flag,Auto Quality Flag Explanation,Science Quality Flag,Science Quality Flag Expln,Missing Data Percentage, DOI Authority,DOI Name,Date Entered,Date Updated,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID,Ordering ID,Browse Link
MOD13Q1.A2020017.h11v04.006.2020034144425.hdf,2358244746,1/17/2020,2/1/2020,11,4,Day,6,6.0.35,Passed,No automatic quality assessment is performed in the PGE,Not Investigated,See http://landweb.nascom.nasa.gov/cgi-bin/QA_WWW/qaFlagPage.cgi?sat=terra&ver=C6 for the product Science Quality status.,0,http://dx.doi.org,10.5067/MODIS/MOD13Q1.006,2/3/2020,2/27/2020,"45°04'26.04""N","93°13'52.32""W","49°59'10.68""N","109°05'07.80""W","50°05'31.56""N","93°23'48.48""W","39°50'56.04""N","78°08'58.92""W","39°46'22.08""N","91°20'19.68""W",45.0739,-93.2312,49.9863,-109.0855,50.0921,-93.3968,39.8489,-78.1497,39.7728,-91.3388,MOD13Q1.A2020017.h11v04.006,2358244746,https://earthexplorer.usgs.gov/browse-link/10785/2358244746
MOD13Q1.A2019017.h11v04.006.2019037160703.hdf,2327558207,1/17/2019,2/1/2019,11,4,Day,6,6.0.35,Passed,No automatic quality assessment is performed in the PGE,Not Investigated,See http://landweb.nascom.nasa.gov/cgi-bin/QA_WWW/qaFlagPage.cgi?sat=terra&ver=C6 for the product Science Quality status.,0,http://dx.doi.org,10.5067/MODIS/MOD13Q1.006,2/7/2019,10/17/2019,"45°04'26.04""N","93°13'52.32""W","49°59'10.68""N","109°05'07.80""W","50°05'31.56""N","93°23'48.48""W","39°50'56.04""N","78°08'58.92""W","39°46'22.08""N","91°20'19.68""W",45.0739,-93.2312,49.9863,-109.0855,50.0921,-93.3968,39.8489,-78.1497,39.7728,-91.3388,MOD13Q1.A2019017.h11v04.006,2327558207,https://earthexplorer.usgs.gov/browse-link/10785/2327558207
MOD13Q1.A2018161.h11v04.006.2018177235718.hdf,2298473733,6/10/2018,6/25/2018,11,4,Day,6,6.0.35,Passed,No automatic quality assessment is performed in the PGE,Not Investigated,See http://landweb.nascom.nasa.gov/cgi-bin/QA_WWW/qaFlagPage.cgi?sat=terra&ver=C6 for the product Science Quality status.,0,http://dx.doi.org,10.5067/MODIS/MOD13Q1.006,6/27/2018,10/24/2019,"45°04'26.04""N","93°13'52.32""W","49°59'10.68""N","109°05'07.80""W","50°05'31.56""N","93°23'48.48""W","39°50'56.04""N","78°08'58.92""W","39°46'22.08""N","91°20'19.68""W",45.0739,-93.2312,49.9863,-109.0855,50.0921,-93.3968,39.8489,-78.1497,39.7728,-91.3388,MOD13Q1.A2018161.h11v04.006,2298473733,https://earthexplorer.usgs.gov/browse-link/10785/2298473733
MOD13Q1.A2018193.h11v04.006.2018210001420.hdf,2302670946,7/12/2018,7/27/2018,11,4,Day,6,6.0.35,Passed,No automatic quality assessment is performed in the PGE,Not Investigated,See http://landweb.nascom.nasa.gov/cgi-bin/QA_WWW/qaFlagPage.cgi?sat=terra&ver=C6 for the product Science Quality status.,0,http://dx.doi.org,10.5067/MODIS/MOD13Q1.006,8/10/2018,10/24/2019,"45°04'26.04""N","93°13'52.32""W","49°59'10.68""N","109°05'07.80""W","50°05'31.56""N","93°23'48.48""W","39°50'56.04""N","78°08'58.92""W","39°46'22.08""N","91°20'19.68""W",45.0739,-93.2312,49.9863,-109.0855,50.0921,-93.3968,39.8489,-78.1497,39.7728,-91.3388,MOD13Q1.A2018193.h11v04.006,2302670946,https://earthexplorer.usgs.gov/browse-link/10785/2302670946
MOD13Q1.A2018177.h11v04.006.2018197102836.hdf,2300627868,6/26/2018,7/11/2018,11,4,Day,6,6.0.35,Passed,No automatic quality assessment is performed in the PGE,Not Investigated,See http://landweb.nascom.nasa.gov/cgi-bin/QA_WWW/qaFlagPage.cgi?sat=terra&ver=C6 for the product Science Quality status.,0,http://dx.doi.org,10.5067/MODIS/MOD13Q1.006,7/26/2018,10/24/2019,"45°04'26.04""N","93°13'52.32""W","49°59'10.68""N","109°05'07.80""W","50°05'31.56""N","93°23'48.48""W","39°50'56.04""N","78°08'58.92""W","39°46'22.08""N","91°20'19.68""W",45.0739,-93.2312,49.9863,-109.0855,50.0921,-93.3968,39.8489,-78.1497,39.7728,-91.3388,MOD13Q1.A2018177.h11v04.006,2300627868,https://earthexplorer.usgs.gov/browse-link/10785/2300627868
MOD13Q1.A2019177.h11v04.006.2019194000420.hdf,2344371928,6/26/2019,7/11/2019,11,4,Day,6,6.0.35,Passed,No automatic quality assessment is performed in the PGE,Not Investigated,See http://landweb.nascom.nasa.gov/cgi-bin/QA_WWW/qaFlagPage.cgi?sat=terra&ver=C6 for the product Science Quality status.,0,http://dx.doi.org,10.5067/MODIS/MOD13Q1.006,7/16/2019,10/17/2019,"45°04'26.04""N","93°13'52.32""W","49°59'10.68""N","109°05'07.80""W","50°05'31.56""N","93°23'48.48""W","39°50'56.04""N","78°08'58.92""W","39°46'22.08""N","91°20'19.68""W",45.0739,-93.2312,49.9863,-109.0855,50.0921,-93.3968,39.8489,-78.1497,39.7728,-91.3388,MOD13Q1.A2019177.h11v04.006,2344371928,https://earthexplorer.usgs.gov/browse-link/10785/2344371928
MOD13Q1.A2019161.h11v04.006.2019177234928.hdf,2342727891,6/10/2019,6/25/2019,11,4,Day,6,6.0.35,Passed,No automatic quality assessment is performed in the PGE,Not Investigated,See http://landweb.nascom.nasa.gov/cgi-bin/QA_WWW/qaFlagPage.cgi?sat=terra&ver=C6 for the product Science Quality status.,0,http://dx.doi.org,10.5067/MODIS/MOD13Q1.006,6/27/2019,10/17/2019,"45°04'26.04""N","93°13'52.32""W","49°59'10.68""N","109°05'07.80""W","50°05'31.56""N","93°23'48.48""W","39°50'56.04""N","78°08'58.92""W","39°46'22.08""N","91°20'19.68""W",45.0739,-93.2312,49.9863,-109.0855,50.0921,-93.3968,39.8489,-78.1497,39.7728,-91.3388,MOD13Q1.A2019161.h11v04.006,2342727891,https://earthexplorer.usgs.gov/browse-link/10785/2342727891
MOD13Q1.A2019193.h11v04.006.2019210002138.hdf,2345081502,7/12/2019,7/27/2019,11,4,Day,6,6.0.35,Passed,No automatic quality assessment is performed in the PGE,Not Investigated,See http://landweb.nascom.nasa.gov/cgi-bin/QA_WWW/qaFlagPage.cgi?sat=terra&ver=C6 for the product Science Quality status.,0,http://dx.doi.org,10.5067/MODIS/MOD13Q1.006,7/29/2019,10/17/2019,"45°04'26.04""N","93°13'52.32""W","49°59'10.68""N","109°05'07.80""W","50°05'31.56""N","93°23'48.48""W","39°50'56.04""N","78°08'58.92""W","39°46'22.08""N","91°20'19.68""W",45.0739,-93.2312,49.9863,-109.0855,50.0921,-93.3968,39.8489,-78.1497,39.7728,-91.3388,MOD13Q1.A2019193.h11v04.006,2345081502,https://earthexplorer.usgs.gov/browse-link/10785/2345081502
MOD13Q1.A2018289.h11v04.006.2018313120024.hdf,2321532628,10/16/2018,10/31/2018,11,4,Day,6,6.0.35,Passed,No automatic quality assessment is performed in the PGE,Not Investigated,See http://landweb.nascom.nasa.gov/cgi-bin/QA_WWW/qaFlagPage.cgi?sat=terra&ver=C6 for the product Science Quality status.,1,http://dx.doi.org,10.5067/MODIS/MOD13Q1.006,11/9/2018,10/24/2019,"45°04'26.04""N","93°13'52.32""W","49°59'10.68""N","109°05'07.80""W","50°05'31.56""N","93°23'48.48""W","39°50'56.04""N","78°08'58.92""W","39°46'22.08""N","91°20'19.68""W",45.0739,-93.2312,49.9863,-109.0855,50.0921,-93.3968,39.8489,-78.1497,39.7728,-91.3388,MOD13Q1.A2018289.h11v04.006,2321532628,https://earthexplorer.usgs.gov/browse-link/10785/2321532628
MOD13Q1.A2018305.h11v04.006.2018321224540.hdf,2323944193,11/1/2018,11/16/2018,11,4,Day,6,6.0.35,Passed,No automatic quality assessment is performed in the PGE,Not Investigated,See http://landweb.nascom.nasa.gov/cgi-bin/QA_WWW/qaFlagPage.cgi?sat=terra&ver=C6 for the product Science Quality status.,1,http://dx.doi.org,10.5067/MODIS/MOD13Q1.006,11/18/2018,10/24/2019,"45°04'26.04""N","93°13'52.32""W","49°59'10.68""N","109°05'07.80""W","50°05'31.56""N","93°23'48.48""W","39°50'56.04""N","78°08'58.92""W","39°46'22.08""N","91°20'19.68""W",45.0739,-93.2312,49.9863,-109.0855,50.0921,-93.3968,39.8489,-78.1497,39.7728,-91.3388,MOD13Q1.A2018305.h11v04.006,2323944193,https://earthexplorer.usgs.gov/browse-link/10785/2323944193
